config_id,add_engineered_features,winsorize,imputation,exclude_demographics,n_features,RMSE,MAE,R2
9,True,True,iterative,True,17,3.9741697651575407,3.1585006570396947,0.615116574406035
8,True,True,iterative,False,25,3.9817865511730415,3.1697805492902718,0.613639846356985
6,True,False,iterative,False,25,3.9821114448780133,3.169687256824233,0.6135767937039606
2,False,False,iterative,False,18,3.992012287255988,3.1789503236385643,0.6116528538276793
7,True,True,mean,False,25,3.996015745656102,3.179862442275767,0.6108735419782658
5,True,False,mean,False,25,3.996766208105596,3.178437755375106,0.6107273702737692
4,False,True,iterative,False,18,4.0012329816528895,3.1821468111821694,0.6098567842903908
1,False,False,mean,False,18,4.007581461267403,3.1864674508374904,0.6086177756350315
3,False,True,mean,False,18,4.009690866710747,3.1908864145167963,0.6082056562173535
