n_estimators,max_depth,learning_rate,mean_rmse,std_rmse
100,3,0.05,4.037434693750187,0.06876196493982356
200,3,0.03,4.038643506853643,0.06758812559943388
200,3,0.05,4.0446477084977275,0.06560355296019464
400,3,0.03,4.04838349503681,0.06425884566760422
100,3,0.1,4.0484240929352975,0.06178137715306605
200,5,0.03,4.054135309870869,0.06408103888207309
100,5,0.05,4.0549314327956845,0.06642714180137034
100,5,0.03,4.057925438520978,0.06871348485332807
400,3,0.05,4.061950645884658,0.057194960620873744
200,3,0.1,4.068577474211175,0.054412744981594166
100,3,0.03,4.0698802865126,0.07512924293186099
200,5,0.05,4.0714752133882,0.06066583487157509
400,5,0.03,4.0721753887073096,0.06167327900691218
100,7,0.03,4.076629444648921,0.06652607555046308
100,7,0.05,4.081065056748882,0.06487302068946756
100,5,0.1,4.082536660028319,0.057012583800346635
200,7,0.03,4.083892848884926,0.06240056248209628
400,3,0.1,4.097957713783385,0.05531964865330248
200,7,0.05,4.100014648297142,0.06404729071459506
400,5,0.05,4.104684836433409,0.06219215078572163
400,7,0.03,4.105998678771267,0.05989411302888735
200,5,0.1,4.115695589694569,0.058518706834484825
100,7,0.1,4.116974078420723,0.060479249635445806
400,7,0.05,4.144158202631797,0.06741691517868982
200,7,0.1,4.154676325320791,0.058028090766024144
400,5,0.1,4.171251663354937,0.05552393993176444
400,7,0.1,4.203348297628847,0.06673997762504473
