feature,coefficient,abs_coefficient,sign,zeroed
concentrated_disadvantage,-2.1369347982253353,2.1369347982253353,-,False
frac_coll_plus,1.4387403912894723,1.4387403912894723,+,False
poor_share,-1.4262495883848825,1.4262495883848825,-,False
gsmn_math_pcst,0.9421217581955792,0.9421217581955792,+,False
share_black,-0.06658998560097563,0.06658998560097563,-,False
singleparent_share,-0.03356360799959955,0.03356360799959955,-,False
share_asian,0.03263316621740531,0.03263316621740531,+,False
foreign_share,0.00014521032075554932,0.00014521032075554932,+,False
mean_commutetime,0.0,0.0,ZERO,True
poor_x_hisp,-0.0,0.0,ZERO,True
poor_x_black,-0.0,0.0,ZERO,True
share_hisp,-0.0,0.0,ZERO,True
inequality_index,-0.0,0.0,ZERO,True
log_popdensity,0.0,0.0,ZERO,True
log_med_hhinc,0.0,0.0,ZERO,True
nonwhite_share2010,-0.0,0.0,ZERO,True
job_density,-0.0,0.0,ZERO,True
hhinc_mean,0.0,0.0,ZERO,True
emp_rate,0.0,0.0,ZERO,True
traveltime15_share,-0.0,0.0,ZERO,True
share_white,0.0,0.0,ZERO,True
rent_twobed,0.0,0.0,ZERO,True
popdensity,-0.0,0.0,ZERO,True
med_hhinc,0.0,0.0,ZERO,True
school_x_poverty,-0.0,0.0,ZERO,True
